"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR","Pop4","Tmax_hab","WT"
"155","Yellow",2018,"CINvaLib","CINvaLib18",1253,33,12,21,"CINvaLib",25.1616164772727,7.83838352272727
"156","Yellow",2018,"CINvaLib","CINvaLib18",1201,34.6,10.4,24.2,"CINvaLib",25.1616164772727,9.43838352272727
"157","Yellow",2018,"CINvaLib","CINvaLib18",1182,35.2,9.4,25.8,"CINvaLib",25.1616164772727,10.0383835227273
"158","Yellow",2018,"CINvaLib","CINvaLib18",1155,33,9.1,23.9,"CINvaLib",25.1616164772727,7.83838352272727
"159","Yellow",2018,"CINvaLib","CINvaLib18",1130,33.6,8.5,25.1,"CINvaLib",25.1616164772727,8.43838352272727
"160","Yellow",2018,"CINvaLib","CINvaLib18",1125,32.1,9.4,22.7,"CINvaLib",25.1616164772727,6.93838352272727
"161","Yellow",2018,"CINvaLib","CINvaLib18",1086,33.8,12,21.8,"CINvaLib",25.1616164772727,8.63838352272727
"162","Green",2018,"NvaLib","NvaLib18",727,34.2,9.8,24.4,"NvaLib",27.4133282442748,6.78667175572519
"163","Green",2018,"NvaLib","NvaLib18",842,34.9,9.3,25.6,"NvaLib",27.4133282442748,7.48667175572519
"164","Green",2018,"NvaLib","NvaLib18",828,32.6,10.3,22.3,"NvaLib",27.4133282442748,5.18667175572519
"165","Green",2018,"NvaLib","NvaLib18",828,32.7,9.7,23,"NvaLib",27.4133282442748,5.28667175572519
"166","Green",2018,"NvaLib","NvaLib18",826,32.2,9.6,22.6,"NvaLib",27.4133282442748,4.78667175572519
"167","Green",2018,"NvaLib","NvaLib18",825,34.1,9.6,24.5,"NvaLib",27.4133282442748,6.68667175572519
"168","Green",2018,"NvaLib","NvaLib18",846,29.4,9.3,20.1,"NvaLib",27.4133282442748,1.98667175572519
"169","Green",2018,"NvaLib","NvaLib18",824,32.7,9.5,23.2,"NvaLib",27.4133282442748,5.28667175572519
"170","Green",2018,"NvaLib","NvaLib18",835,32.6,10.5,22.1,"NvaLib",27.4133282442748,5.18667175572519
"171","Green",2018,"NvaLib","NvaLib18",828,33.9,9.9,24,"NvaLib",27.4133282442748,6.48667175572519
"175","Red",2018,"RLFlor","RLFlor18",1397,34.7,10.1,24.6,"RLFlor",23.8424391805378,10.8575608194622
"176","Red",2018,"RLFlor","RLFlor18",1459,34.2,8.6,25.6,"RLFlor",23.8424391805378,10.3575608194622
"177","Red",2018,"RLFlor","RLFlor18",1494,34.8,8.5,26.3,"RLFlor",23.8424391805378,10.9575608194622
"178","Red",2018,"RLFlor","RLFlor18",1390,35.7,8.6,27.1,"RLFlor",23.8424391805378,11.8575608194622
"179","Red",2018,"RLFlor","RLFlor18",1415,NA,9.8,NA,"RLFlor",23.8424391805378,NA
"180","Red",2018,"RLFlor","RLFlor18",1416,33.1,11.2,21.9,"RLFlor",23.8424391805378,9.25756081946223
"181","Red",2018,"RLFlor","RLFlor18",1416,32.1,12.3,19.8,"RLFlor",23.8424391805378,8.25756081946223
"182","Yellow",2018,"LaLoma","LaLoma18",1300,35.9,6.2,29.7,"LaLoma",28.426816953317,7.47318304668304
"183","Yellow",2018,"LaLoma","LaLoma18",1299,35.6,7.2,28.4,"LaLoma",28.426816953317,7.17318304668305
"184","Yellow",2018,"LaLoma","LaLoma18",1295,34,8.3,25.7,"LaLoma",28.426816953317,5.57318304668305
"185","Yellow",2018,"LaLoma","LaLoma18",1310,35.9,10.2,25.7,"LaLoma",28.426816953317,7.47318304668304
"186","Yellow",2018,"LaLoma","LaLoma18",1299,35.8,6.8,29,"LaLoma",28.426816953317,7.37318304668304
"187","Yellow",2018,"LaLoma","LaLoma18",1298,36.6,7.6,29,"LaLoma",28.426816953317,8.17318304668305
