"","Domain","Elevation","Year","Pop","CTmax","CTmin","TTR","Weight","SVL","WT","Cool_T","Tmax_hab","Tmin_hab"
"143","Yellow",1147,2018,"NBI",33.1,9.2,23.9,1.18,23.67,10.1158499369483,9.34423329129887,22.9841500630517,18.5442332912989
"144","Yellow",1193,2018,"NBI",34.5,8.1,26.4,1.26,23.21,11.5158499369483,10.4442332912989,22.9841500630517,18.5442332912989
"145","Yellow",1122,2018,"NBI",33.3,9.8,23.5,1.35,25.7,10.3158499369483,8.74423329129887,22.9841500630517,18.5442332912989
"146","Yellow",1130,2018,"NBI",33.6,10.9,22.7,1.35,24.86,10.6158499369483,7.64423329129887,22.9841500630517,18.5442332912989
"147","Yellow",1063,2018,"NBI",33.4,9.6,23.8,1.16,23.38,10.4158499369483,8.94423329129887,22.9841500630517,18.5442332912989
"148","Yellow",1127,2018,"NBI",33.5,10.2,23.3,1.56,27.4,10.5158499369483,8.34423329129887,22.9841500630517,18.5442332912989
"149","Yellow",1151,2018,"NBI",33.6,9.2,24.4,1.46,26,10.6158499369483,9.34423329129887,22.9841500630517,18.5442332912989
"150","Yellow",1199,2018,"NBI",33.5,9,24.5,1.97,27.69,10.5158499369483,9.54423329129887,22.9841500630517,18.5442332912989
"151","Yellow",1295,2018,"CINvaLib",34,11.1,22.9,1.37,25.49,8.83838352272727,6.51477840909091,25.1616164772727,17.6147784090909
"152","Yellow",1291,2018,"CINvaLib",33,11.2,21.8,1.03,22.64,7.83838352272727,6.41477840909091,25.1616164772727,17.6147784090909
"153","Yellow",1282,2018,"CINvaLib",33.4,9.9,23.5,1.12,25.13,8.23838352272727,7.71477840909091,25.1616164772727,17.6147784090909
"154","Yellow",1268,2018,"CINvaLib",33,11.2,21.8,1.05,24.67,7.83838352272727,6.41477840909091,25.1616164772727,17.6147784090909
"155","Yellow",1253,2018,"CINvaLib",33,12,21,1.05,24.74,7.83838352272727,5.61477840909091,25.1616164772727,17.6147784090909
"156","Yellow",1201,2018,"CINvaLib",34.6,10.4,24.2,1.13,25.53,9.43838352272727,7.21477840909091,25.1616164772727,17.6147784090909
"157","Yellow",1182,2018,"CINvaLib",35.2,9.4,25.8,0.96,24.37,10.0383835227273,8.21477840909091,25.1616164772727,17.6147784090909
"158","Yellow",1155,2018,"CINvaLib",33,9.1,23.9,0.84,23.05,7.83838352272727,8.51477840909091,25.1616164772727,17.6147784090909
"159","Yellow",1130,2018,"CINvaLib",33.6,8.5,25.1,1.22,24.91,8.43838352272727,9.11477840909091,25.1616164772727,17.6147784090909
"160","Yellow",1125,2018,"CINvaLib",32.1,9.4,22.7,0.69,22.25,6.93838352272727,8.21477840909091,25.1616164772727,17.6147784090909
"161","Yellow",1086,2018,"CINvaLib",33.8,12,21.8,1.28,25.67,8.63838352272727,5.61477840909091,25.1616164772727,17.6147784090909
"162","Green",826,2018,"NvaLib",32.2,9.6,22.6,1,23.49,4.78667175572519,10.9258549618321,27.4133282442748,20.5258549618321
"163","Green",842,2018,"NvaLib",34.9,9.3,25.6,1.85,30.61,7.48667175572519,11.2258549618321,27.4133282442748,20.5258549618321
"164","Green",727,2018,"NvaLib",34.2,9.8,24.4,1.2,25.82,6.78667175572519,10.7258549618321,27.4133282442748,20.5258549618321
"165","Green",835,2018,"NvaLib",32.6,10.5,22.1,1.1,22.46,5.18667175572519,10.0258549618321,27.4133282442748,20.5258549618321
"166","Green",828,2018,"NvaLib",32.7,9.7,23,1.15,23.22,5.28667175572519,10.8258549618321,27.4133282442748,20.5258549618321
"167","Green",825,2018,"NvaLib",34.1,9.6,24.5,1.05,22.42,6.68667175572519,10.9258549618321,27.4133282442748,20.5258549618321
"168","Green",828,2018,"NvaLib",32.6,10.3,22.3,1,22.14,5.18667175572519,10.2258549618321,27.4133282442748,20.5258549618321
"169","Green",828,2018,"NvaLib",33.9,9.9,24,1.55,24.8,6.48667175572519,10.6258549618321,27.4133282442748,20.5258549618321
"170","Green",846,2018,"NvaLib",29.4,9.3,20.1,0.9,22.22,1.98667175572519,11.2258549618321,27.4133282442748,20.5258549618321
"171","Green",824,2018,"NvaLib",32.7,9.5,23.2,1.3,24.44,5.28667175572519,11.0258549618321,27.4133282442748,20.5258549618321
"172","Red",1397,2018,"RLFlor",34.7,10.1,24.6,NA,NA,10.8575608194622,6.4797080665813,23.8424391805378,16.5797080665813
"173","Red",1459,2018,"RLFlor",34.2,8.6,25.6,NA,NA,10.3575608194622,7.9797080665813,23.8424391805378,16.5797080665813
"174","Red",1494,2018,"RLFlor",34.8,8.5,26.3,NA,NA,10.9575608194622,8.0797080665813,23.8424391805378,16.5797080665813
"175","Red",1390,2018,"RLFlor",35.7,8.6,27.1,NA,NA,11.8575608194622,7.9797080665813,23.8424391805378,16.5797080665813
"176","Red",1415,2018,"RLFlor",NA,9.8,NA,NA,NA,NA,6.7797080665813,23.8424391805378,16.5797080665813
"177","Red",1416,2018,"RLFlor",33.1,11.2,21.9,NA,NA,9.25756081946223,5.3797080665813,23.8424391805378,16.5797080665813
"178","Red",1416,2018,"RLFlor",32.1,12.3,19.8,NA,NA,8.25756081946223,4.2797080665813,23.8424391805378,16.5797080665813
"179","Yellow",1300,2018,"LaLoma",35.9,6.2,29.7,1.61,25.31,7.47318304668304,11.0586425061425,28.426816953317,17.2586425061425
"180","Yellow",1299,2018,"LaLoma",35.6,7.2,28.4,1.13,22.71,7.17318304668305,10.0586425061425,28.426816953317,17.2586425061425
"181","Yellow",1295,2018,"LaLoma",34,8.3,25.7,1.74,25.92,5.57318304668305,8.95864250614251,28.426816953317,17.2586425061425
"182","Yellow",1310,2018,"LaLoma",35.9,10.2,25.7,0.54,18.6,7.47318304668304,7.05864250614251,28.426816953317,17.2586425061425
"183","Yellow",1299,2018,"LaLoma",35.8,6.8,29,0.6,17.89,7.37318304668304,10.4586425061425,28.426816953317,17.2586425061425
"184","Yellow",1298,2018,"LaLoma",36.6,7.6,29,2.74,29.93,8.17318304668305,9.65864250614251,28.426816953317,17.2586425061425
